Date,AFFLE,ASIANPAINT,BAJFINANCE,BALKRISIND,CDSL,COFORGE,DIVISLAB,DIXON,GAIL,GRINDWELL,GUJGASLTD,HAPPSTMNDS,HAVELLS,HDFCBANK,HEROMOTOCO,ICICIBANK,INFY,LTI,LTTS,MPHASIS,PERSISTENT ,SBIN,TATAELXSI,TATAMOTORS,TCS,TECHM,WIPRO,YESBANK,AFFLE,ASIANPAINT,BAJFINANCE,BALKRISIND,CDSL,COFORGE,DIVISLAB,DIXON,GAIL,GRINDWELL,GUJGASLTD,HAPPSTMNDS,HAVELLS,HDFCBANK,HEROMOTOCO,ICICIBANK,INFY,LTI,LTTS,MPHASIS,PERSISTENT ,SBIN,TATAELXSI,TATAMOTORS,TCS,TECHM,WIPRO,YESBANK,AFFLE,ASIANPAINT,BAJFINANCE,BALKRISIND,CDSL,COFORGE,DIVISLAB,DIXON,GAIL,GRINDWELL,GUJGASLTD,HAPPSTMNDS,HAVELLS,HDFCBANK,HEROMOTOCO,ICICIBANK,INFY,LTI,LTTS,MPHASIS,PERSISTENT ,SBIN,TATAELXSI,TATAMOTORS,TCS,TECHM,WIPRO,YESBANK,AFFLE,ASIANPAINT,BAJFINANCE,BALKRISIND,CDSL,COFORGE,DIVISLAB,DIXON,GAIL,GRINDWELL,GUJGASLTD,HAPPSTMNDS,HAVELLS,HDFCBANK,HEROMOTOCO,ICICIBANK,INFY,LTI,LTTS,MPHASIS,PERSISTENT ,SBIN,TATAELXSI,TATAMOTORS,TCS,TECHM,WIPRO,YESBANK,AFFLE,ASIANPAINT,BAJFINANCE,BALKRISIND,CDSL,COFORGE,DIVISLAB,DIXON,GAIL,GRINDWELL,GUJGASLTD,HAPPSTMNDS,HAVELLS,HDFCBANK,HEROMOTOCO,ICICIBANK,INFY,LTI,LTTS,MPHASIS,PERSISTENT ,SBIN,TATAELXSI,TATAMOTORS,TCS,TECHM,WIPRO,YESBANK,AFFLE,ASIANPAINT,BAJFINANCE,BALKRISIND,CDSL,COFORGE,DIVISLAB,DIXON,GAIL,GRINDWELL,GUJGASLTD,HAPPSTMNDS,HAVELLS,HDFCBANK,HEROMOTOCO,ICICIBANK,INFY,LTI,LTTS,MPHASIS,PERSISTENT ,SBIN,TATAELXSI,TATAMOTORS,TCS,TECHM,WIPRO,YESBANK
01-01-2015,,715.5770264,344.0682678,284.2207642,,330.88974,820.4892578,,103.1570053,275.0729675,,,257.5678406,456.7246399,2586.217285,299.0315247,415.7414856,,,320.2198181,,300.5475464,273.5263062,492.9607239,1114.908936,553.8338013,197.3263092,145.0450897,,749.1500244,349.9700012,302.7315979,,367.0499878,872.7249756,,124.4813156,303.5,,,276.2999878,476.0249939,3105.399902,320.2727356,493.6000061,,,391.6499939,,314,301.875,493.1603699,1272.775024,648.6375122,207.1500549,154.5099945,,754.5,352,306.7876892,,372.5,876.5,,125.1985016,314.9750061,,,277.3999939,477.2000122,3120,321.3181763,495.5,,,393.9500122,,315,308.6000061,494.1497498,1283.5,653.3624878,207.9000549,154.9299927,,747,346.5,299.9046326,,363,862.25,,124.031311,298,,,273.5499878,472.5249939,3083,318.3636475,489.2250061,,,385,,310.7000122,298,487.0261536,1270.5,645.1875,206.4375458,153.2100067,,751.0999756,348.394989,299.9046326,,368.0499878,867.4000244,,124.593811,310,,,275.75,475.5,3111,320.6363525,492.2374878,,,387.9500122,,312.4500122,298.5,489.2522888,1283.5,647.25,207.2062988,153.8000031,,284935,75660,87882,,23554,186924,,3242654,8258,,,1042050,1772470,112464,2583280,2002764,,,45594,,6138488,967918,944551,366830,489388,541274,3675025
02-01-2015,,740.3163452,338.567627,285.0977173,,342.6541443,823.991333,,103.6231461,278.2904968,,,256.4492188,463.0810242,2580.138184,307.5195313,423.9114685,,,318.9524841,,301.743988,274.6362915,506.1636963,1129.756714,556.5447388,199.0766602,148.7343903,,775.0499878,344.375,303.6657104,,380.1000061,876.4500122,,125.0438156,307.0499878,,,275.1000061,482.6499939,3098.100098,329.3636475,503.2999878,,,390.1000061,,315.25,303.1000061,506.3686829,1289.724976,651.8125,208.9875488,158.4400024,,781.4500122,352,307.2793274,,380.9500122,884.75,,126.0563126,318.8999939,,,277.8999939,484.6499939,3119,330.4545593,504.7625122,,,396.1000061,,318.2999878,307.4500122,511.9092712,1295.474976,654.75,210.0937958,159.1600037,,751.25,341.6199951,302.3874512,,365.0499878,873,,124.4953766,302,,,273.5,475.2000122,3090.550049,320,493,,,390,,314.3500061,302,491.9730835,1275.300049,646.75,207.3750458,154.1999969,,751.25,349,305.7552185,,368.75,877,,124.7906876,305.4500122,,,276.2999878,475.2000122,3115,320,493,,,390.1000061,,314.3500061,303.7000122,491.9730835,1275.5,646.75,207.5250549,154.6000061,,2080850,140430,77455,,97644,204160,,2267177,18802,,,1471143,2950192,187675,8272990,6778320,,,46665,,9935094,392930,4193093,925740,1025204,2099476,10627395
05-01-2015,,740.2685547,337.6828003,297.7913818,,337.7410278,819.0320435,,103.9494247,282.5502625,,,258.966156,459.1712036,2597.876709,308.1560669,420.2686768,,,320.0562439,,299.3510742,279.5971375,518.0315552,1112.587891,547.2591553,199.4338684,149.0535583,,775,343.4750061,317.1860046,,374.6499939,871.1749878,,125.437561,311.75,,,277.7999878,478.5750122,3119.399902,330.0454407,498.9750061,,,391.4500122,,312.75,308.5750122,518.241333,1270.125,640.9375,209.3625488,158.7799988,,787.9000244,352,326.4043884,,383,882.8250122,,126.8016281,314.9750061,,,280.75,485.2749939,3146.899902,334,507.5,,,393.75,,316.7999878,312.2250061,520.4179688,1299.949951,654.9249878,211.8750458,160.9799957,,772.7000122,341.1000061,305.8043823,,372,866.25,,123.8625641,305,,,274.5499878,477.5499878,3098.100098,328.6363525,494.375,,,377.5499878,,312.1000061,300.75,501.3228149,1262.324951,638.75,208.3125458,157.9600067,,779.9000244,346.5,305.8043823,,381,876.375,,124.6922455,307.5249939,,,275.8999939,485,3104,332.0909119,502.4750061,,,391,,316.25,300.75,504.6867371,1290.5,650,208.8937988,159.3000031,,1326999,144620,945713,,58534,121542,,2794188,7994,,,2167401,2398000,160068,10316090,9937024,,,72549,,9136716,957658,6758676,1754242,770804,1919300,14164070
06-01-2015,,722.5976563,336.8078003,291.6522522,,328.9064941,786.9730835,,100.6631393,276.9082642,,,244.843277,452.0232544,2510.431152,295.0846252,411.4880371,,,317.6852112,,287.0515747,281.2280884,495.8782349,1071.570557,541.3890381,194.7722168,144.8761597,,756.5,342.5849915,310.6470947,,364.8500061,837.0750122,,121.4719315,305.5249939,,,262.6499939,471.125,3014.399902,316.0454407,488.5499878,,,388.5499878,,299.8999939,310.375,496.079071,1223.300049,634.0625,204.4687958,154.3300018,,783,348.5,321.0454407,,373,865,,124.8469391,309.5,,,277.3999939,478.2749939,3098,327.1818237,496.25,,,392.75,,311.1000061,318,508.8916321,1264.550049,642.25,208.6500549,157.7599945,,750.4000244,339.2200012,308.8526001,,363.3500061,833.5,,120.375061,296.25,,,260.2999878,468.7749939,3001,314.7272644,483.5249939,,,384,,298.7000122,303.5,493.9518738,1220,628.8375244,203.2875519,153.6699982,,775,345,316.1044006,,372.0499878,865,,124.8469391,309.5,,,277.3999939,477,3098,326.7272644,495,,,390,,310,308.7999878,508.8916321,1264.550049,638.7625122,208.1250458,157.7100067,,1510720,137810,593678,,139481,682896,,11088485,6004,,,2786525,4109840,457760,13282427,9667316,,,54039,,15329257,1948022,7979598,2423784,1959932,6198347,12749005
07-01-2015,,737.116333,343.6651611,291.2138062,,321.0635986,775.4562378,,98.09938049,270.7453003,,,248.1992035,453.3424988,2476.827637,287.105896,413.4568787,,,315.395813,,287.290863,294.8194885,488.411377,1058.912354,538.8594971,193.2897491,142.19133,,771.7000122,349.5599976,310.1800537,,356.1499939,824.8250122,,118.3781815,298.7250061,,,266.25,472.5,2974.050049,307.5,490.8875122,,,385.75,,300.1499939,325.375,488.6091919,1208.849976,631.0999756,202.9125519,151.4700012,,778.3499756,351.7950134,316.2764587,,367.1000061,849.5750122,,121.6969376,308.9750061,,,268.4500122,475.6749878,3022,314.7727356,493.6875,,,388.6000061,,302.5499878,332.4500122,495.0896606,1239.574951,643.7000122,204.3750458,155.1999969,,759.25,340.375,307.2793274,,354.6000061,817.5,,117.421936,295.1499939,,,256.1000061,468.125,2966.699951,304.9545593,487.5,,,378,,295.1499939,309.5,484.0085144,1203.724976,628.2999878,201.8813019,150.8500061,,763.4000244,340.375,311.2616577,,367.1000061,838.0999756,,120.375061,307.5,,,263,469.8500061,3014,314.1818237,491.25,,,386,,300,309.5499878,489.7469788,1235,636.25,203.7000427,154,,1427667,109470,125317,,32871,415972,,6462240,5308,,,2122221,2873056,378882,21254332,7249916,,,42760,,15046745,2355204,9232656,2636332,1331532,4152790,15567125
08-01-2015,,783.5861816,343.0802002,298.6453552,,324.0835266,777.0545044,,100.3951035,279.6726685,,,255.2373047,462.8650818,2485.114014,294.914856,415.5415039,,,312.8612366,,291.7895508,293.6415405,506.3614807,1070.344482,547.8782349,194.6828918,144.4067688,,820.3499756,348.9649963,318.0955505,,359.5,826.5250244,,121.1484985,308.5750122,,,273.7999878,482.4249878,2984,315.8636475,493.3624878,,,382.6499939,,304.8500061,324.0750122,506.5665588,1221.900024,641.6624756,204.3750458,153.8300018,,822.9000244,351.8800049,319.2755127,,365,839.9500122,,122.625061,314.9750061,,,274.5,484.4750061,2999.699951,316.8181763,499.25,,,396.7999878,,306.5,340.875,509.336853,1224.5,644.9749756,209.5875549,154.8999939,,778.0999756,346.5499878,311.9008179,,355.1000061,825,,118.6031876,300,,,267.2999878,474.1000061,2951.75,310.1818237,487.5,,,381.1499939,,302.3500061,322.6000061,495.6832886,1210.275024,632,203.7000427,152.1999969,,783.7999878,346.5499878,311.9008179,,355.1000061,830,,119.3063126,307.8500061,,,267.2999878,477.125,2978,313.6363525,496.3999939,,,389,,305,333.5,498.6514587,1221.199951,632,208.5563049,154,,2769416,96860,605613,,17892,124860,,4796218,25998,,,1570782,4762912,513335,12558144,13564920,,,314935,,8939749,1907280,5535587,1565408,1760940,3896065,11130605
09-01-2015,,776.0878906,339.1870117,298.2067566,,324.3990784,800.1821899,,101.4555817,276.6590576,,,254.5848236,468.0461731,2491.984375,290.1615906,436.8086243,,,312.6977234,,290.2102356,304.4920044,516.5480347,1100.346069,572.1487427,197.7192535,143.4117279,,812.5,345.0050049,317.628479,,359.8500061,851.125,,122.4281845,305.25,,,273.1000061,487.8250122,2992.25,310.7727356,518.6124878,,,382.4500122,,303.2000122,336.0499878,516.7572632,1256.150024,670.0875244,207.5625458,152.7700043,,829,351.2049866,321.9795532,,363,859.4249878,,124.3969345,314.6749878,,,275.7000122,490,3011,318.5454407,527.25,,,389.6000061,,307.8500061,338.3500061,519.3791504,1259.949951,672.4749756,210.0000458,156.4600067,,804.0499878,344.1000061,316.6206055,,356.5,830,,119.250061,302.5,,,269.2000122,483.2999878,2966.25,306.4545593,478.2625122,,,380.0499878,,302,320.5,510.0294189,1225,642,203.7187958,150.2700043,,828.4500122,348.1000061,319.0788574,,361,830,,121.8938065,314.6749878,,,275.7000122,486.4500122,2998.850098,318.1363525,495.0249939,,,384,,306.7000122,325.75,515.7183838,1227.5,642,205.950058,156,,1708427,173160,317492,,131139,152108,,9748407,6108,,,1733358,4492592,365342,15701030,44863328,,,27596,,11953948,1948012,4053562,3197642,3004040,6793558,13265440
12-01-2015,,771.5507813,338.0219727,302.084198,,329.4023438,802.0858765,,100.2785797,272.5125732,,,252.4873352,463.9205017,2446.096436,294.1509094,445.5471191,,,308.7731323,,293.9431458,330.4741821,516.5480347,1099.20752,587.8699951,198.630127,146.0402069,,807.75,343.8200073,321.7583313,,365.3999939,853.1500244,,121.0078735,300.6749878,,,270.8500061,483.5249939,2937.149902,315.0454407,528.9874878,,,377.6499939,,307.1000061,364.7250061,516.7572632,1254.849976,688.5,208.5187988,155.5700073,,818.4000244,351,323.9215698,,369.5,862.875,,122.4703751,309.9750061,,,274.8999939,487.2000122,2988,316,529.7999878,,,390.7000122,,307.7999878,368,519.1317749,1264,689.75,209.6250458,156.1999969,,800.2000122,339.8500061,314.6786194,,358.7000122,840.5,,119.9250565,294.4249878,,,268.1000061,482.25,2924,307.9090881,518.75,,,375,,301.1000061,334.2000122,505.8245239,1240.125,671.25,205.387558,151.6999969,,813.0499878,345.0050049,317.6039124,,360,856.5,,122.343811,309.9750061,,,274.8999939,484.7000122,2988,311.5909119,523,,,382.75,,304.1499939,337.5249939,512.9975586,1258.5,674.25,206.2500458,153.1999969,,1320557,117740,167536,,67151,194864,,3856389,18804,,,1060034,2063206,396343,8304115,12758888,,,41573,,8536142,7070250,2560568,1596006,3457052,2210895,9423490
13-01-2015,,796.4812012,342.4263916,308.0154419,,333.6393433,810.359314,,99.78912354,273.8720703,,,252.0212097,462.1455078,2409.494141,289.3551941,439.8512878,,,313.4744263,,292.0288086,323.1801147,513.7294312,1094.038696,589.3857422,201.2913971,146.7724304,,833.8499756,348.2999878,328.0759888,,370.1000061,861.9500122,,120.417244,302.1749878,,,270.3500061,481.6749878,2893.199951,309.9090881,522.2249756,,,383.3999939,,305.1000061,356.6749878,513.9375,1248.949951,690.2750244,211.3125458,156.3500061,,842.4500122,350.9750061,332.0337524,,374.7000122,864.9500122,,122.3016205,307.2749939,,,273.2999878,485.9750061,2962.550049,317.2727356,526.9500122,,,385.8500061,,310.75,367.9500122,520.1211548,1265.199951,693.0499878,212.512558,159.75,,812.0999756,342.3049927,321.1437683,,367,852.5,,119.671936,298.2749939,,,268.5,477.8500061,2887.550049,308.8636475,518.75,,,378,,304.1499939,351.1499939,509.782074,1240.050049,683.75,208.1250458,155.1999969,,813,344.0100098,325.1752625,,369.7000122,852.5,,120.7266235,298.2749939,,,271,484.4750061,2951,317.2727356,526.9500122,,,378,,308.1499939,366.5,514.8279419,1260,691,208.9125519,157.1000061,,3835281,141920,528511,,40219,112556,,4605391,5782,,,1623957,2914174,387266,13100848,8801236,,,27289,,9484804,2025106,4328812,1468432,3020512,3156337,17997855
14-01-2015,,804.8867188,371.0307617,309.4694214,,345.0881653,801.6158447,,99.4045639,267.4143982,,,245.7754517,462.4093628,2417.69751,285.960083,448.221283,,,310.3675232,,291.6459656,333.6907959,514.6195068,1104.572632,595.885498,197.1655579,147.7017517,,842.6500244,377.394989,329.6246643,,382.7999878,852.6500244,,119.953186,295.0499878,,,263.6499939,481.9500122,2903.050049,306.2727356,532.1624756,,,379.6000061,,304.7000122,368.2749939,514.8279419,1260.974976,697.8875122,206.981308,157.3399963,,850,413.7999878,332.8449707,,389.1000061,870,,121.781311,308.9750061,,,270.8999939,487.3250122,2924.699951,310.7272644,533.25,,,384.5,,307,372.3999939,521.0610962,1265.900024,698.9874878,213.5625458,158.6000061,,830.2000122,347.769989,324.9786072,,366.7000122,848.5250244,,117.042244,294.5,,,258.9500122,479.8500061,2883,302.7272644,523.1500244,,,378,,302.25,352.625,508.4958801,1250.25,687.875,206.2500458,155.0399933,,840,349.9849854,330.3867188,,371,860,,119.7844315,308.9750061,,,269,480.0249939,2909,308.4090881,524.625,,,381.5499878,,304,356.8999939,515.9657593,1258,691,212.2500458,157.5899963,,2320114,4175930,466324,,755089,256164,,8632568,6140,,,2123170,1842616,503348,13127934,9921260,,,19017,,8855660,2491338,6070608,1787096,1642216,4861929,30983715
