SRNO,COMPANY,DATE,QUANTITY,PURCHASE PRICE,PURCHASE VALUE,Latest Price,Profit/Loss,Percentage Change,Ticker
1.0,GUJGASLTD,16-08-2021,10.0,738.8,7388.0,392.6499938964844,-3461.500061035156,-46.85300569890573,GUJGASLTD.NS
2.0,HAPPSTMNDS,16-08-2021,8.0,1394.0,11152.0,640.75,-6026.0,-54.03515064562411,HAPPSTMNDS.NS
3.0,MPHASIS,16-08-2021,5.0,2772.15,13860.75,2292.050048828125,-2400.4997558593755,-17.318685899820537,MPHASIS.NS
4.0,WIPRO,16-08-2021,20.0,615.25,12305.0,265.70001220703125,-6990.999755859375,-56.81430114473284,WIPRO.NS
5.0,GUJGASLTD,16-08-2021,10.0,749.95,7499.5,392.6499938964844,-3573.0000610351567,-47.6431770256038,GUJGASLTD.NS
6.0,ASIANPAINTÿ,16-08-2021,3.0,2973.0,8919.0,,,,ASIANPAINTÿ.NS
7.0,TATAELXSI,16-08-2021,2.0,4408.0,8816.0,5357.89990234375,1899.7998046875,21.54945331995803,TATAELXSI.NS
8.0,BALKRISIND,17-08-2021,10.0,2289.35,22893.5,2615.14990234375,3257.999023437501,14.231109369198686,BALKRISIND.NS
9.0,MPHASIS,17-08-2021,10.0,2774.4,27744.0,2292.050048828125,-4823.499511718751,-17.385739301177736,MPHASIS.NS
10.0,BAJAJ FINANCE,17-08-2021,1.0,6389.05,6389.05,,,,BAJAJFINANCE.NS
11.0,GUJGASLTD,17-08-2021,60.0,733.98,44038.8,392.6499938964844,-20479.80036621094,-46.503992765949434,GUJGASLTD.NS
12.0,PIDILITEIND,17-08-2021,3.0,2214.0,6642.0,,,,PIDILITEIND.NS
13.0,SBIN,17-08-2021,25.0,421.9,10547.5,745.0,8077.500000000001,76.58212846646126,SBIN.NS
14.0,HAPPSTMNDS,18-08-2021,50.0,1424.3,71215.0,640.75,-39177.5,-55.0129888366215,HAPPSTMNDS.NS
15.0,ICICI BANK,18-08-2021,20.0,699.3,13986.0,1312.050048828125,12255.0009765625,87.62334460576649,ICICIBANK.NS
16.0,MPHASIS,18-08-2021,30.0,2821.39,84641.7,2292.050048828125,-15880.198535156247,-18.76167247958896,MPHASIS.NS
17.0,CDSL,18-08-2021,40.0,1224.79,48991.6,1170.0,-2191.5999999999985,-4.473419933213038,CDSL.NS
18.0,AFFLE,18-08-2021,5.0,3824.0,19120.0,1475.8499755859375,-11740.750122070312,-61.405596872752675,AFFLE.NS
