SRNO,COMPANY,DATE,QUANTITY,PURCHASE PRICE,PURCHASE VALUE,Days,CURRENT PRICE,CURRENT VALUE,p/l,%,
1,GUJGASLTD,16-08-2021,10,738.8,7388,43,627.55,6275.5,-1112.5,-15.06,
2,HAPPSTMNDS,16-08-2021,8,1394,11152,43,1435,11480,328,2.94,
3,MPHASIS,16-08-2021,5,2772.15,13860.75,43,3350,16750,2889.25,20.84,
4,WIPRO,16-08-2021,20,615.25,12305,43,674,13480,1175,9.55,
5,GUJGASLTD,16-08-2021,10,749.95,7499.5,43,627.55,6275.5,-1224,-16.32,
6,ASIANPAINTÿ,16-08-2021,3,2973,8919,43,3326,9978,1059,11.87,
7,TATAELXSI,16-08-2021,2,4408,8816,43,5725,11450,2634,29.88,
8,BALKRISIND,17-08-2021,10,2289.35,22893.5,42,2645.95,26459.5,3566,15.58,
9,MPHASIS,17-08-2021,10,2774.4,27744,42,3350,33500,5756,20.75,
10,BAJAJ FINANCE,17-08-2021,1,6389.05,6389.05,42,7890.05,7890.05,1501,23.49,
11,GUJGASLTD,17-08-2021,60,733.98,44038.8,42,627.55,37653,-6385.8,-14.50,
12,PIDILITEIND,17-08-2021,3,2214,6642,42,2431,7293,651,9.80,
13,SBIN,17-08-2021,25,421.9,10547.5,42,450,11250,702.5,6.66,
14,HAPPSTMNDS,18-08-2021,50,1424.3,71215,41,1435,71750,535,0.75,
15,ICICI BANK,18-08-2021,20,699.3,13986,41,717,14340,354,2.53,
16,MPHASIS,18-08-2021,30,2821.39,84641.7,41,3350,100500,15858.3,18.74,
17,CDSL,18-08-2021,40,1224.79,48991.6,41,1277.95,51118,2126.4,4.34,
18,AFFLE,18-08-2021,5,3824,19120,41,5166,25830,6710,35.09,
19,GUJGASLTD,20-08-2021,25,719.25,17981.25,39,627.55,15688.75,-2292.5,-12.75,
20,ASIANPAINTÿ,20-08-2021,3,3056.95,9170.85,39,3326,9978,807.15,8.80,
21,SBIN,20-08-2021,25,411.9,10297.5,39,450,11250,952.5,9.25,
22,COFORGE,20-08-2021,2,4900,9800,39,5650,11300,1500,15.31,
23,DIVIS LAB,20-08-2021,2,4910.85,9821.7,39,5219.5,10439,617.3,6.29,
24,DIXON TECH,20-08-2021,2,4050,8100,39,4390,8780,680,8.40,
25,HERO MOTOCORP,20-08-2021,6,2726.05,16356.3,39,2852,17112,755.7,4.62,
26,TATAELXSI,20-08-2021,16,4748.95,75983.2,39,5725,91600,15616.8,20.55,
27,GRINDWELL NOTRON,20-08-2021,10,1204.58,12045.8,39,1415.35,14153.5,2107.7,17.50,
28,GRINDWELL NOTRON,20-08-2021,10,1201.35,12013.5,39,1415.35,14153.5,2140,17.81,
29,HDFCBANK,20-08-2021,10,1504,15040,39,1571.6,15716,676,4.49,
30,GUJGASLTD,23-08-2021,25,715.45,17886.25,36,627.55,15688.75,-2197.5,-12.29,
31,PIDILITEIND,23-08-2021,4,2279.55,9118.2,36,2431,9724,605.8,6.64,
32,TATA MOTORS,23-08-2021,50,285.2,14260,36,321,16050,1790,12.55,
33,YES BANK,23-08-2021,500,11.23,5615,36,13,6500,885,15.76,
34,BAJAJ FINANCE,23-08-2021,4,6723.55,26894.2,36,7890.05,31560.2,4666,17.35,
35,COFORGE,23-08-2021,4,5027.7,20110.8,36,5650,22600,2489.2,12.38,
36,HAVELLS,23-08-2021,4,1282.3,5129.2,36,1435.65,5742.6,613.4,11.96,
37,ICICI BANK,23-08-2021,20,684.35,13687,36,717,14340,653,4.77,
38,GAIL,23-08-2021,25,142.25,3556.25,36,153.15,3828.75,272.5,7.66,
39,HAVELLS,23-08-2021,2,1258.2,2516.4,36,1435.65,2871.3,354.9,14.10,
40,GUJGASLTD,23-08-2021,25,694.24,17356,36,627.55,15688.75,-1667.25,-9.61,
41,TATA MOTORS,23-08-2021,50,277.65,13882.5,36,321,16050,2167.5,15.61,
42,CDSL,23-08-2021,20,1150.9,23018,36,1277.95,25559,2541,11.04,
43,PIDILITEIND,23-08-2021,5,2235.05,11175.25,36,2431,12155,979.75,8.77,
44,SBIN,27-08-2021,50,412.85,20642.5,32,450,22500,1857.5,9.00,
45,PERSISTANT ,27-08-2021,5,3250,16250,32,3768.7,18843.5,2593.5,15.96,
